Model,MAE,RMSE,R2
LinearRegression,801.9657723565797,1187.4349828291965,0.9904590771823459
LightGBM,1270.4111553189252,1656.4165831594785,0.9814343634931988
RandomForest,1347.7350705473018,1668.3268679233142,0.9811664152042457
XGBoost,1728.2150785519125,2140.249053731425,0.9690044511416551
